,Fortnite - Stability - Grafana,,,,wiki for adding data,,,,,,
DO NOT EDIT THESE FIELDS,Previous Release compared to Current Release,,,,,,,,,,
,LUNA,,29.00,-29.00,,,LUNA,165.00,29.00,136.00,
,UEFN,,9.00,-9.00,,,UEFN,15.00,9.00,6.00,
,PS4,,10.90,-10.90,,,PS4,97.40,10.90,86.50,
,PS5,,24.80,-24.80,,,PS5,94.20,24.80,69.40,
,XB1,,17.00,-17.00,,,XB1,90.00,17.00,73.00,
,XSS/X,,39.00,-39.00,,,XSS/X,245.00,39.00,206.00,
,Android,,8.73,-8.73,,,Android,21.29,8.73,12.56,
,iOS,,7.68,-7.68,,,iOS,18.30,7.68,10.62,
,Switch,,No data,#VALUE!,,,Switch,"1,657.00",No data,#VALUE!,
,Switch2,,No data,#VALUE!,,,Switch2,11.00,No data,#VALUE!,
,Server,Current,Launch,Delta,Notes,,Server,Current,Launch,Delta,Notes
,BRCORE,,No data,#VALUE!,,,BRCORE,"20,200.00",No data,#VALUE!,
,BRCORE Ranked,,No data,#VALUE!,,,BRCORE Ranked,"3,480.00",No data,#VALUE!,
,Reload (Sunflower),,"6,540.00",-6540.00,,,Reload (Sunflower),"6,110.00","6,540.00",-430.00,
,OG (Figment),,No data,#VALUE!,,,OG (Figment),"5,690.00",No data,#VALUE!,
,Ballistic (Feral),,No data,#VALUE!,,,Ballistic (Feral),No data,No data,#VALUE!,No crashes in last 12 hours (as of 6/14 3pm et)
,Creative-Edit,,882.00,-882.00,,,Creative-Edit,"1,180.00",882.00,298.00,
,Creative-Play,,986.00,-986.00,,,Creative-Play,"1,250.00",986.00,264.00,
,Juno,,356.00,-356.00,,,Juno,702.00,356.00,346.00,
,Sprout,,No data,#VALUE!,,,Sprout,362.00,No data,#VALUE!,
,DelMar,,No data,#VALUE!,,,DelMar,"1,160.00",No data,#VALUE!,
,STW,,504.00,-504.00,,,STW,"1,790.00",504.00,"1,286.00",
,LVKEDIT,,22.20,-22.20,,,LVKEDIT,41.10,22.20,18.90,
,LVKPLAY,,32.60,-32.60,,,LVKPLAY,"3,064.00",32.60,"3,031.40",
